Rank	VP (linear)	"VP % (linear) (i)"	VP (log)	"VP % (log) (ii)"	"VP % (effective) (iii) = (i)*(1 - G^3) + (ii)*G^3"	"% Change
(iii) vs (i)"
25	"3,034,000"	1.5170%	6.48	1.0593%	1.4695%	-3.13%
26	"2,981,000"	1.4905%	6.47	1.0581%	1.4456%	-3.01%
27	"2,929,000"	1.4645%	6.47	1.0568%	1.4222%	-2.89%
28	"2,878,000"	1.4390%	6.46	1.0556%	1.3992%	-2.77%
29	"2,828,000"	1.4140%	6.45	1.0543%	1.3767%	-2.64%
30	"2,779,000"	1.3895%	6.44	1.0531%	1.3546%	-2.51%
31	"2,330,000"	1.1650%	6.37	1.0406%	1.1521%	-1.11%
32	"2,290,000"	1.1450%	6.36	1.0393%	1.1340%	-0.96%
33	"2,250,000"	1.1250%	6.35	1.0381%	1.1160%	-0.80%
34	"2,211,000"	1.1055%	6.34	1.0368%	1.0984%	-0.64%
35	"2,173,000"	1.0865%	6.34	1.0356%	1.0812%	-0.49%
36	"2,135,000"	1.0675%	6.33	1.0344%	1.0641%	-0.32%
37	"2,098,000"	1.0490%	6.32	1.0331%	1.0474%	-0.16%
38	"2,062,000"	1.0310%	6.31	1.0319%	1.0311%	0.01%
39	"2,026,000"	1.0130%	6.31	1.0306%	1.0148%	0.18%
40	"1,991,000"	0.9955%	6.30	1.0294%	0.9990%	0.35%
41	"1,669,000"	0.8345%	6.22	1.0169%	0.8534%	2.27%
42	"1,640,000"	0.8200%	6.21	1.0156%	0.8403%	2.48%
43	"1,612,000"	0.8060%	6.21	1.0144%	0.8276%	2.68%
44	"1,584,000"	0.7920%	6.20	1.0132%	0.8150%	2.90%
45	"1,557,000"	0.7785%	6.19	1.0120%	0.8027%	3.11%
46	"1,530,000"	0.7650%	6.18	1.0107%	0.7905%	3.33%
47	"1,504,000"	0.7520%	6.18	1.0095%	0.7787%	3.56%
48	"1,478,000"	0.7390%	6.17	1.0083%	0.7670%	3.78%
49	"1,453,000"	0.7265%	6.16	1.0070%	0.7556%	4.01%
50	"1,428,000"	0.7140%	6.15	1.0058%	0.7443%	4.24%
51	"1,197,000"	0.5985%	6.08	0.9933%	0.6395%	6.85%
52	"1,177,000"	0.5885%	6.07	0.9921%	0.6304%	7.12%
53	"1,157,000"	0.5785%	6.06	0.9909%	0.6213%	7.40%
54	"1,137,000"	0.5685%	6.06	0.9896%	0.6122%	7.69%
55	"1,118,000"	0.5590%	6.05	0.9884%	0.6036%	7.98%
56	"1,099,000"	0.5495%	6.04	0.9872%	0.5949%	8.27%
57	"1,080,000"	0.5400%	6.03	0.9860%	0.5863%	8.57%
58	"1,062,000"	0.5310%	6.03	0.9848%	0.5781%	8.87%
59	"1,044,000"	0.5220%	6.02	0.9836%	0.5699%	9.18%
60	"1,026,000"	0.5130%	6.01	0.9824%	0.5617%	9.50%
61	"860,000"	0.4300%	5.93	0.9698%	0.4860%	13.03%
62	"845,000"	0.4225%	5.93	0.9686%	0.4792%	13.42%
63	"831,000"	0.4155%	5.92	0.9674%	0.4728%	13.79%
64	"817,000"	0.4085%	5.91	0.9662%	0.4664%	14.17%
65	"803,000"	0.4015%	5.90	0.9650%	0.4600%	14.57%
66	"789,000"	0.3945%	5.90	0.9637%	0.4536%	14.98%
67	"776,000"	0.3880%	5.89	0.9625%	0.4476%	15.37%
68	"763,000"	0.3815%	5.88	0.9613%	0.4417%	15.78%
69	"750,000"	0.3750%	5.88	0.9601%	0.4357%	16.20%
70	"737,000"	0.3685%	5.87	0.9589%	0.4298%	16.63%
71	"618,000"	0.3090%	5.79	0.9464%	0.3752%	21.42%
72	"608,000"	0.3040%	5.78	0.9452%	0.3706%	21.90%
73	"598,000"	0.2990%	5.78	0.9440%	0.3660%	22.40%
74	"588,000"	0.2940%	5.77	0.9428%	0.3614%	22.91%
75	"578,000"	0.2890%	5.76	0.9416%	0.3568%	23.45%
76	"568,000"	0.2840%	5.75	0.9404%	0.3521%	24.00%
77	"559,000"	0.2795%	5.75	0.9393%	0.3480%	24.51%
78	"550,000"	0.2750%	5.74	0.9381%	0.3438%	25.03%
79	"541,000"	0.2705%	5.73	0.9369%	0.3397%	25.58%
80	"532,000"	0.2660%	5.73	0.9357%	0.3355%	26.14%
81	"446,000"	0.2230%	5.65	0.9232%	0.2957%	32.60%
82	"439,000"	0.2195%	5.64	0.9221%	0.2924%	33.23%
83	"432,000"	0.2160%	5.64	0.9210%	0.2892%	33.88%
84	"425,000"	0.2125%	5.63	0.9198%	0.2859%	34.56%
85	"418,000"	0.2090%	5.62	0.9186%	0.2827%	35.25%
86	"411,000"	0.2055%	5.61	0.9174%	0.2794%	35.97%
87	"404,000"	0.2020%	5.61	0.9162%	0.2762%	36.71%
88	"397,000"	0.1985%	5.60	0.9150%	0.2729%	37.47%
89	"391,000"	0.1955%	5.59	0.9139%	0.2701%	38.15%
90	"385,000"	0.1925%	5.59	0.9128%	0.2673%	38.85%
91	"323,000"	0.1615%	5.51	0.9003%	0.2382%	47.50%
92	"318,000"	0.1590%	5.50	0.8992%	0.2359%	48.33%
93	"313,000"	0.1565%	5.50	0.8981%	0.2335%	49.20%
94	"308,000"	0.1540%	5.49	0.8969%	0.2311%	50.09%
95	"303,000"	0.1515%	5.48	0.8958%	0.2288%	51.01%
96	"298,000"	0.1490%	5.47	0.8946%	0.2264%	51.95%
97	"293,000"	0.1465%	5.47	0.8934%	0.2240%	52.93%
98	"288,000"	0.1440%	5.46	0.8922%	0.2217%	53.94%
99	"283,000"	0.1415%	5.45	0.8909%	0.2193%	54.99%
100	"279,000"	0.1395%	5.45	0.8899%	0.2174%	55.85%
						
Total:	"200,000,000"	100.0000%	611.91	100.0000%	100.0000%	
						
Gini index		0.4700			0.4260	
Minimum # of validators holding 33.4% of VP		12			13	
Total VP of the top 20% validators		50.45%			47.49%	
