Rank,VP (linear),"VP % (linear) (i)",VP (log),"VP % (log) (ii)","VP % (effective) (iii) = (i)*(1 - G^4) + (ii)*G^4","% Change
(iii) vs (i)"
51,1736000,0.8680%,6.24,0.9970%,0.8685%,0.06%
52,1722000,0.8610%,6.24,0.9964%,0.8615%,0.06%
53,1708000,0.8540%,6.23,0.9958%,0.8545%,0.06%
54,1694000,0.8470%,6.23,0.9953%,0.8476%,0.07%
55,1680000,0.8400%,6.23,0.9947%,0.8406%,0.07%
56,1667000,0.8335%,6.22,0.9942%,0.8341%,0.07%
57,1654000,0.8270%,6.22,0.9936%,0.8276%,0.08%
58,1641000,0.8205%,6.22,0.9931%,0.8212%,0.08%
59,1628000,0.8140%,6.21,0.9925%,0.8147%,0.08%
60,1615000,0.8075%,6.21,0.9920%,0.8082%,0.09%
61,1486000,0.7430%,6.17,0.9862%,0.7439%,0.12%
62,1474000,0.7370%,6.17,0.9856%,0.7379%,0.13%
63,1462000,0.7310%,6.16,0.9851%,0.7320%,0.13%
64,1450000,0.7250%,6.16,0.9845%,0.7260%,0.14%
65,1438000,0.7190%,6.16,0.9839%,0.7200%,0.14%
66,1427000,0.7135%,6.15,0.9834%,0.7145%,0.14%
67,1416000,0.7080%,6.15,0.9828%,0.7090%,0.15%
68,1405000,0.7025%,6.15,0.9823%,0.7036%,0.15%
69,1394000,0.6970%,6.14,0.9818%,0.6981%,0.15%
70,1383000,0.6915%,6.14,0.9812%,0.6926%,0.16%
71,1273000,0.6365%,6.10,0.9755%,0.6378%,0.20%
72,1263000,0.6315%,6.10,0.9749%,0.6328%,0.21%
73,1253000,0.6265%,6.10,0.9744%,0.6278%,0.21%
74,1243000,0.6215%,6.09,0.9738%,0.6228%,0.21%
75,1233000,0.6165%,6.09,0.9732%,0.6178%,0.22%
76,1223000,0.6115%,6.09,0.9727%,0.6129%,0.22%
77,1213000,0.6065%,6.08,0.9721%,0.6079%,0.23%
78,1203000,0.6015%,6.08,0.9715%,0.6029%,0.23%
79,1194000,0.5970%,6.08,0.9710%,0.5984%,0.24%
80,1185000,0.5925%,6.07,0.9705%,0.5939%,0.24%
81,1091000,0.5455%,6.04,0.9647%,0.5471%,0.29%
82,1082000,0.5410%,6.03,0.9642%,0.5426%,0.30%
83,1074000,0.5370%,6.03,0.9637%,0.5386%,0.30%
84,1066000,0.5330%,6.03,0.9631%,0.5346%,0.31%
85,1058000,0.5290%,6.02,0.9626%,0.5306%,0.31%
86,1050000,0.5250%,6.02,0.9621%,0.5267%,0.31%
87,1042000,0.5210%,6.02,0.9616%,0.5227%,0.32%
88,1034000,0.5170%,6.01,0.9610%,0.5187%,0.32%
89,1026000,0.5130%,6.01,0.9605%,0.5147%,0.33%
90,1018000,0.5090%,6.01,0.9599%,0.5107%,0.34%
91,937000,0.4685%,5.97,0.9542%,0.4703%,0.39%
92,930000,0.4650%,5.97,0.9537%,0.4668%,0.40%
93,923000,0.4615%,5.97,0.9531%,0.4634%,0.40%
94,916000,0.4580%,5.96,0.9526%,0.4599%,0.41%
95,909000,0.4545%,5.96,0.9521%,0.4564%,0.41%
96,902000,0.4510%,5.96,0.9515%,0.4529%,0.42%
97,895000,0.4475%,5.95,0.9510%,0.4494%,0.43%
98,888000,0.4440%,5.95,0.9505%,0.4459%,0.43%
99,881000,0.4405%,5.94,0.9499%,0.4424%,0.44%
100,874000,0.4370%,5.94,0.9494%,0.4389%,0.44%
,,,,,,
Total:,"200,000,000",100.0000%,625.85,100.0000%,100.0000%,
,,,,,,
,,Gini index (before),0.2480,G^4,0.0038,
,,Gini index (after),0.2470,,,
